"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2013","Homicide Firearm","2000","P","493782","."
"Both Sexes","All Races","","Both","All Ages","1999","2013","Homicide Firearm","2000","10801","281421906","3.84"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2013","Homicide Firearm","2001","302","4467634","6.76"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2013","Homicide Firearm","2001","25","633714","3.94"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2013","Homicide Firearm","2001","332","5273477","6.3"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2013","Homicide Firearm","2001","110","2691571","4.09"
"Both Sexes","All Races","California","Both","All Ages","1999","2013","Homicide Firearm","2001","1589","34479458","4.61"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2013","Homicide Firearm","2001","98","4425687","2.21"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2013","Homicide Firearm","2001","72","3432835","2.1"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2013","Homicide Firearm","2001","19","795699","2.39"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2013","Homicide Firearm","2001","141","574504","24.54"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2013","Homicide Firearm","2001","573","16356966","3.5"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2013","Homicide Firearm","2001","454","8377038","5.42"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2013","Homicide Firearm","2001","P","1225948","."
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2013","Homicide Firearm","2001","25","1319962","1.89"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2013","Homicide Firearm","2001","747","12488445","5.98"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2013","Homicide Firearm","2001","290","6127760","4.73"
"Both Sexes","All Races","Iowa","Both","All Ages","1999","2013","Homicide Firearm","2001","24","2931997","0.82"
"Both Sexes","All Races","Kansas","Both","All Ages","1999","2013","Homicide Firearm","2001","91","2702162","3.37"
"Both Sexes","All Races","Kentucky","Both","All Ages","1999","2013","Homicide Firearm","2001","138","4068132","3.39"
"Both Sexes","All Races","Louisiana","Both","All Ages","1999","2013","Homicide Firearm","2001","400","4477875","8.93"
"Both Sexes","All Races","Maine","Both","All Ages","1999","2013","Homicide Firearm","2001","P","1285692","."
"Both Sexes","All Races","Maryland","Both","All Ages","1999","2013","Homicide Firearm","2001","363","5374691","6.75"
"Both Sexes","All Races","Massachusetts","Both","All Ages","1999","2013","Homicide Firearm","2001","80","6397634","1.25"
"Both Sexes","All Races","Michigan","Both","All Ages","1999","2013","Homicide Firearm","2001","499","9991120","4.99"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2013","Homicide Firearm","2001","68","4982796","1.36"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2013","Homicide Firearm","2001","224","2852994","7.85"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2013","Homicide Firearm","2001","275","5641142","4.87"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2013","Homicide Firearm","2001","20","906961","2.21"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2013","Homicide Firearm","2001","21","1719836","1.22"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2013","Homicide Firearm","2001","109","2098399","5.19"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2013","Homicide Firearm","2001","P","1255517","."
